Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
24	4.9753156	0.83479565	6.0113344	3.7907495	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.50573695	0.3017032	1.679111	-0.24683084	-0.00051101204	0.01260776	0.06649809	-0.08170619	1.4901161e-08	-0.034158327	-1.4551915e-11	-5.0741735e-05	0.110568754	-0.07211594	0.00015990747	-3.8118247e-05	0	0	36.0	1.4078202	0.012279971	100000	97.25766086578369
25	5.762186	1.1011766	6.975063	4.221335	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.5244327	0.30972192	1.580162	-0.5737444	-0.00035005057	0.012949837	0.065566316	-0.103689715	-1.4901161e-08	-0.041346774	-1.6734703e-10	2.1050686e-05	0.069387674	-0.04457538	0.00017196767	-4.6521312e-05	0	0	51.0	1.3870928	0.012363579	104000	101.10540914535522
26	5.353574	1.5194391	7.755811	3.5449436	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.5916491	0.3244774	1.6791978	-0.3333126	0.00022110148	0.012013202	0.064171925	-0.09047353	-1.1175871e-08	-0.0359732	1.0186341e-10	3.4963952e-05	0.09085207	-0.051449865	0.00014823355	-3.8278984e-05	0	0	33.0	1.3487241	0.012445787	108000	104.8021879196167
27	8.183233	1.1495531	9.869867	6.639102	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.6236401	0.29577672	1.8296319	-0.090825945	0.00070758676	0.011605573	0.1117372	-0.06649896	7.450581e-09	-0.027587965	8.731149e-11	3.4403805e-05	0.1679988	-0.11284263	0.00013759942	-3.408561e-05	0	0	19.0	1.3199961	0.012442818	112000	108.08554601669312
28	8.327725	2.1275978	11.986721	6.7554145	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.8074847	0.3843245	1.9823316	-0.22612746	-4.985128e-05	0.011632095	0.10464579	-0.10946716	-7.450581e-09	-0.039681956	7.2759576e-11	-3.6684323e-05	0.13148254	-0.080178976	0.00013604056	-3.8324964e-05	0	0	53.0	1.3054206	0.01227652	116000	111.89303779602051
29	7.2285385	1.351695	8.50784	4.9868617	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.865627	0.4064746	2.0651128	-0.11523189	0.000807799	0.010925336	0.06104181	-0.071580656	-3.7252903e-09	-0.025653578	-2.2555469e-10	2.3331571e-05	0.108313754	-0.07882568	0.0001199843	-3.3066186e-05	0	0	19.0	1.28056	0.013455138	120000	115.44754004478455
30	8.271974	0.7933665	9.489859	7.3010054	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.7442124	0.36541045	1.8757949	-0.36900774	0.0004200706	0.010019891	0.097664595	-0.046941753	1.4901161e-08	-0.022858566	-7.275958e-12	-5.4891734e-06	0.12630779	-0.08516606	0.00010312877	-2.641572e-05	0	0	14.0	1.274173	0.011597101	124000	118.92864108085632
31	9.77014	1.3202902	11.722286	7.997089	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.92926794	0.32186148	1.887951	0.112784855	-0.0002837062	0.010522813	0.054847497	-0.060841616	-7.450581e-09	-0.013496367	1.05501385e-10	-2.8894621e-05	0.1725862	-0.119960114	0.00011311444	-3.079594e-05	0	0	8.0	1.2709839	0.013334689	128000	122.31423282623291
32	10.067349	0.8127718	11.070817	8.86588	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	1.0514526	0.32639608	2.014502	0.24960999	0.00052542856	0.010205168	0.06657269	-0.10418038	-3.7252903e-09	-0.024528703	2.1827873e-11	-3.8404076e-05	0.09499158	-0.052355096	0.00011115153	-3.1184536e-05	0	0	20.0	1.2708035	0.01348494	132000	125.75643992424011
33	10.128679	1.9467804	12.9827585	8.240757	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.9492619	0.3986721	2.100505	-0.46427104	0.00041739113	0.009633101	0.071125075	-0.057040464	7.450581e-09	-0.040655736	-3.6379788e-11	2.4352648e-05	0.13603467	-0.08646178	9.329586e-05	-2.5494943e-05	0	0	41.0	1.2716255	0.012314345	136000	129.52205896377563
