Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
24	19.680672	1.387451	21.524584	18.311228	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	1.9030917	0.35506648	2.5233998	0.62933147	-1.53272e-05	0.0054992624	0.04745565	-0.037008855	-1.4901161e-08	-0.015538469	-3.6379788e-11	2.2517082e-05	0.17560202	-0.03774371	3.0382818e-05	-4.237425e-06	0	0	79.0	1.2840046	0.01024607	100000	91.72690105438232
25	17.98914	1.8475089	19.244349	14.812885	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	1.9847687	0.4022878	2.593448	0.5554182	-0.00016933716	0.0052328664	0.052480277	-0.04131793	1.4901161e-08	-0.0042343317	-4.1836756e-11	-9.209534e-07	0.102767244	-0.03328042	2.7959533e-05	-3.971445e-06	0	0	2.0	1.290755	0.007891387	104000	94.66058397293091
26	19.642942	1.3684795	21.646332	18.005022	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	1.8832949	0.33999255	2.4707522	0.73173034	0.000106450956	0.0049704853	0.03665447	-0.04396652	2.6077032e-08	-0.0031519383	-3.6379788e-11	-1.0812353e-05	0.10534567	-0.03829348	2.575291e-05	-3.8003514e-06	0	0	2.0	1.2900767	0.0037347572	108000	97.65504598617554
27	20.977638	2.8406482	24.19617	16.396385	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	2.0492373	0.36893827	2.5853693	0.56265897	-5.894901e-05	0.0052417372	0.05216324	-0.056933273	1.4901161e-08	-0.018711928	-1.4551915e-11	1.10413575e-05	0.2183364	-0.07976988	2.961301e-05	-4.3200603e-06	0	0	79.0	1.2887912	0.009095369	112000	101.30506014823914
28	18.699104	1.0179671	19.413284	16.95456	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	2.022364	0.5007258	3.167765	0.6302836	0.0006780495	0.0058374256	0.054354575	-0.046045396	1.3038516e-08	-0.006873966	1.6370905e-11	5.0814224e-06	0.1617871	-0.061673492	3.4597342e-05	-7.671344e-06	0	0	3.0	1.2387935	0.0042690123	116000	104.32624316215515
29	20.519356	2.1512783	22.766356	17.948744	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	2.0810313	0.38216138	2.8922246	0.877085	1.7976023e-05	0.0044977292	0.040763807	-0.03523295	-2.6077032e-08	-0.015516128	-6.4574124e-11	2.6810994e-08	0.08634314	-0.005224879	2.0263888e-05	-2.8097666e-06	0	0	79.0	1.2374591	0.0066966517	120000	108.01678800582886
30	20.754429	2.4510458	23.39832	16.751677	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	2.0686858	0.38309294	2.8661993	0.93795025	-8.894617e-06	0.0048577054	0.06457262	-0.05850259	4.8428774e-08	-0.015880309	6.366463e-12	2.2352695e-05	0.119968176	-0.025659524	2.3578543e-05	-4.0317814e-06	0	0	79.0	1.2018411	0.007834621	124000	111.66355109214783
31	20.076012	1.1260874	21.606094	18.440973	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	2.0936694	0.37716243	2.6281276	0.88004285	-9.5751304e-05	0.0046975133	0.032161195	-0.059311163	7.450581e-09	-0.004367698	-9.640644e-11	2.0393936e-06	0.061043702	-0.00659338	2.2156137e-05	-3.849272e-06	0	0	2.0	1.168668	0.005309347	128000	114.67693710327148
32	19.656338	2.334724	22.910992	16.451126	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	2.0832095	0.3497688	2.6407769	1.0142702	6.715338e-05	0.0042063994	0.048705883	-0.03478717	-1.1175871e-08	-0.018767018	-1.6370905e-11	-5.2054174e-06	0.056862935	-0.009630076	1.8554047e-05	-2.3494156e-06	0	0	79.0	1.1681435	0.009764645	132000	118.36889696121216
33	21.821526	0.6975095	22.5762	20.92271	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	2.1120956	0.36613348	2.7309961	0.87073016	6.816382e-05	0.0039124126	0.03943441	-0.03916838	7.450581e-09	-0.01653153	0.0	-8.330695e-06	0.10452264	-0.025078222	1.5800922e-05	-2.3444686e-06	0	0	79.0	1.1107906	0.011697505	136000	122.10380601882935
34	19.687344	2.3475986	22.45523	15.961534	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	2.1053743	0.43006316	2.9019907	0.62489927	0.00026732773	0.005000641	0.05559255	-0.059149772	2.8871e-08	-0.01801451	2.1827873e-11	-3.4625737e-06	0.10822494	-0.01739364	2.5088526e-05	-4.554228e-06	0	0	79.0	1.1250018	0.009416112	140000	125.96696996688843
35	22.433865	0.49115902	23.170338	21.786934	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	2.1346884	0.4048046	2.8658745	0.97013223	1.9691508e-05	0.0048735035	0.03425272	-0.047180023	-4.656613e-08	-0.019935224	-8.0035534e-11	-1.4488622e-05	0.1146612	-0.036660526	2.7157588e-05	-6.243914e-06	0	0	79.0	1.100925	0.009634318	144000	129.8394420146942
36	21.098034	0.79471713	22.206463	20.235409	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	2.2199028	0.40203467	2.9757245	1.0461389	0.00038485837	0.0048973523	0.05596578	-0.04664965	-7.450581e-09	-0.003611084	-2.3646862e-11	5.299349e-06	0.102341965	-0.020542689	2.4599503e-05	-6.2440677e-06	0	0	2.0	1.0690591	0.007734574	148000	133.20490407943726
37	20.55047	2.2933743	23.573315	17.132013	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	2.160377	0.36892447	2.8828766	1.1191577	5.2947984e-05	0.0039657783	0.031417597	-0.03947128	-2.7939677e-08	-0.021262702	4.5474735e-13	-8.001363e-06	0.06759609	-0.0147283375	1.5829199e-05	-2.548989e-06	0	0	79.0	1.0683064	0.009213966	152000	136.97490215301514
38	20.532358	1.1712154	22.403217	19.210974	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	2.1317585	0.39014855	2.9243917	0.9085322	-1.616033e-05	0.0039884914	0.056946542	-0.038342524	1.4901161e-08	-0.019645888	7.275958e-12	-9.94628e-06	0.06684224	-0.013863759	1.6318681e-05	-3.2007251e-06	0	0	79.0	1.0321454	0.009351945	156000	140.75998497009277
39	20.760452	1.4272741	22.8849	18.86569	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	2.1125367	0.3617954	2.6871495	1.0326376	0.00016494129	0.0038665116	0.028828807	-0.04884673	0.0	-0.018057307	-7.275958e-12	-1.12429625e-05	0.07367335	-0.008205848	1.617254e-05	-3.2414766e-06	0	0	79.0	1.0067611	0.012108978	160000	144.59658694267273
40	22.5055	0.6149676	23.478422	21.789907	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	2.1750712	0.3397779	2.7220633	1.1232615	0.00026151465	0.004378222	0.031705253	-0.06712202	-2.3283064e-09	-0.02034819	-2.1827873e-11	-8.28213e-06	0.09046835	-0.023902744	1.9404984e-05	-3.879002e-06	0	0	79.0	0.97083485	0.010157681	164000	148.51041197776794
41	19.814205	1.5052884	21.479404	18.106918	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	2.114152	0.45991793	2.8721745	0.8309716	0.00026521573	0.005617513	0.06365007	-0.051803015	-4.0978193e-08	-0.023858817	-8.0035534e-11	2.3105504e-05	0.08235128	-0.026558973	3.4808712e-05	-1.2203953e-05	0	0	79.0	0.95985615	0.011131978	168000	152.24795699119568
42	19.67225	1.4089628	21.770527	17.803938	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	2.0878966	0.44070488	2.9260442	0.283302	-0.0003578971	0.0046708626	0.038062356	-0.042327337	-1.4901161e-08	-0.023656916	4.456524e-11	6.5495387e-06	0.08380754	-0.033759475	2.2017848e-05	-5.4396696e-06	0	0	79.0	0.930827	0.009555693	172000	156.07404708862305
43	20.49206	1.5705918	22.567648	18.537064	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	2.0577974	0.37873358	2.688231	0.8019696	-0.00023633728	0.004320456	0.032007746	-0.034435548	-2.2351742e-08	-0.02141279	5.820766e-11	-1.2619559e-05	0.059559003	-0.015367008	1.8804476e-05	-4.018577e-06	0	0	56.0	0.8991029	0.012212466	176000	159.70886898040771
44	20.159348	1.2012166	21.38696	18.408627	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	2.109284	0.4150838	2.9253955	0.36866844	-0.00024140383	0.0038802798	0.063872375	-0.028877163	1.44355e-08	-0.023137987	-7.003109e-11	-2.9477342e-06	0.073050275	-0.023001447	1.5480146e-05	-2.6878254e-06	0	0	79.0	0.86630285	0.009954822	180000	163.59931015968323
45	20.162483	1.7685504	22.186897	17.65827	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	2.0345936	0.39052632	2.7031333	0.8588935	0.00019745117	0.0038334366	0.0267042	-0.03519266	3.8184226e-08	-0.0035597966	-9.094947e-12	-9.060336e-06	0.08268803	-0.01054981	1.50392625e-05	-3.051288e-06	0	0	2.0	0.8490008	0.007094614	184000	166.81065392494202
46	21.92168	2.6789272	25.878187	18.38703	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	2.2071552	0.37331158	2.7993762	0.7288252	2.6233341e-05	0.0035026884	0.027139843	-0.030323416	-2.9802322e-08	-0.020828336	5.456968e-12	-6.91698e-07	0.07248674	-0.012402128	1.2617889e-05	-2.9530402e-06	0	0	79.0	0.84902716	0.009767791	188000	170.65286207199097
47	21.188534	1.6112213	23.549463	19.650633	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	2.1992955	0.43355143	2.9723647	0.8336723	-4.9076043e-05	0.0031821968	0.021595532	-0.029462298	-2.2351742e-08	-0.02122584	4.5474735e-12	-2.0636335e-06	0.0956507	-0.01621052	1.0164448e-05	-2.3707526e-06	0	0	79.0	0.8311376	0.012015854	192000	174.53971886634827
48	21.159075	1.3373207	23.058575	19.677765	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	2.23416	0.36442584	2.9581509	1.127623	8.82185e-05	0.003089766	0.03677291	-0.031013828	-1.4901161e-08	-0.019083023	-5.2295945e-11	4.280114e-06	0.053327136	-0.025672123	9.586594e-06	-2.0876166e-06	0	0	79.0	0.79449236	0.009983642	196000	178.5873510837555
49	20.82359	2.284996	24.440548	18.55689	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	2.1260874	0.31061867	2.644928	1.113468	4.96304e-05	0.0032033885	0.023027433	-0.031549323	1.4901161e-08	-0.022313874	2.0008883e-11	4.375172e-06	0.07744796	-0.015255864	1.0271563e-05	-1.9238119e-06	0	0	77.0	0.747925	0.011413355	200000	182.4895339012146
