Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
25	12.688792	3.3968759	18.690548	5.52921	93.73333	34.285988	201.0	28.0	1000.0	75927.0	0.09734230769230769	1.3323462	0.5901909	2.5431414	-0.53777355	9.036908	5.3983912	35.685246	-3.76383	6.1035155e-09	0.0028397725	-1.6276042e-08	-7.499593e-05	0.23312256	-0.06030327	34.046814	-9.819408	0	0	1.0	1.6621625	0.0077526937	780000	3273.3721849918365
26	13.039771	3.1265986	21.826061	7.3820353	98.333336	30.460173	161.0	46.0	1000.0	78877.0	0.09737901234567901	1.3749856	0.57626003	3.1731071	-0.3999416	10.209269	5.63206	35.841602	-2.1688695	-2.0345052e-09	-0.00052579143	-4.0690104e-08	0.00082777505	0.20747308	-0.050435126	29.272808	-6.993616	0	0	1.0	1.6615391	0.00033441672	810000	3394.915631532669
27	13.917869	2.947881	21.459063	6.9243717	89.433334	32.884323	176.0	38.0	1000.0	81560.0	0.0970952380952381	1.4434588	0.56741273	2.698683	-0.4515331	9.6666565	5.482952	36.76222	-0.5645641	-2.0345052e-09	-0.00070083415	3.4586588e-08	-0.0017029764	0.1832504	-0.030885994	29.777666	-7.416525	0	0	1.0	1.6610131	0.003173328	840000	3516.540061235428
28	15.268809	3.374814	21.878168	5.7761273	101.8	39.576424	189.0	17.0	1000.0	84614.0	0.09725747126436782	1.5523797	0.517256	2.882271	-0.17255084	9.71164	5.3252106	34.837112	-0.6301217	8.138021e-09	-0.0010833811	-3.2552084e-08	0.0004429606	0.21799178	-0.051908836	34.58919	-11.74177	0	0	1.0	1.6606336	0.0016438164	870000	3638.4998621940613
29	13.458479	3.8786745	21.555218	7.2518654	96.86667	36.349903	227.0	20.0	1000.0	87520.0	0.09724444444444444	1.5018148	0.584256	3.4760618	-0.38390267	10.238137	5.817483	38.72561	-1.8203095	0.0	-0.0005665853	4.0690104e-08	-0.00032137043	0.22236991	-0.05549732	28.761131	-9.494381	0	0	1.0	1.6602852	0.0004194629	900000	3760.442734003067
30	14.502923	3.4782543	21.913008	6.044272	91.03333	35.61693	152.0	12.0	1000.0	90251.0	0.09704408602150538	1.445522	0.5747325	2.754097	-0.50289	9.872181	5.612254	41.176117	-1.3586094	-7.1207684e-09	-0.0012214904	2.8483074e-08	0.00036267497	0.20470296	-0.036352992	27.962252	-8.917147	0	0	1.0	1.6601405	0.0014113496	930000	3882.3379216194153
31	15.2751665	3.3579023	21.071268	8.033927	94.1	32.095016	168.0	32.0	1000.0	93074.0	0.09695208333333333	1.5647116	0.5927291	3.04225	-0.41299152	9.778988	5.297535	33.98594	-1.8790523	-1.5258789e-09	-0.000906974	-5.086263e-09	0.0006777781	0.22885858	-0.057637617	30.722017	-9.20293	0	0	1.0	1.6600626	0.0011603193	960000	4003.8494505882263
32	14.7279	2.9127212	20.110338	9.724621	103.0	38.940125	178.0	25.0	1000.0	96164.0	0.09713535353535353	1.6067894	0.57971394	3.1648827	-0.43241826	10.209394	5.536179	34.248928	-0.6912949	0.0	-0.0014276255	-1.6276042e-08	0.0013596924	0.17759149	-0.038657993	31.151686	-10.56386	0	0	1.0	1.6602025	0.0021053352	990000	4125.705927848816
33	15.726534	3.3792522	21.60764	8.319551	79.23333	38.135445	189.0	18.0	1000.0	98541.0	0.09660882352941176	1.5422828	0.5487047	2.985986	-0.1857306	9.605311	5.2735057	37.73825	-1.583806	4.0690105e-09	-0.0012801595	4.8828124e-08	-0.0017735189	0.26271197	-0.068838	30.592844	-12.296354	0	0	1.0	1.6604049	0.0015600023	1020000	4247.510123729706
34	15.074317	3.7764664	21.24534	6.2049966	92.066666	30.508944	145.0	31.0	1000.0	101303.0	0.09647904761904762	1.6208799	0.60044104	3.749397	-0.25674734	8.664677	5.5151544	37.7232	-7.1044507	2.0345052e-09	-0.00067710574	1.8310548e-08	0.0007942993	0.20664218	-0.050168812	29.240425	-11.32493	0	0	1.0	1.6605973	0.0011678007	1050000	4369.431688070297
